id_entrega,distancia_km,tipo_veiculo,capacidade_veiculo_t,carga_t,tempo_estimado_min,tempo_real_min,valor_frete,custo_combustivel
10001,129.66,Truck,14.0,13.57,413.36,379.7,890.28,221.18
10002,51.14,VUC,3.0,2.32,118.54,117.74,177.37,37.79
10003,517.78,Sprinter_Indefinida,28.0,4.94,605.61,713.37,3632.52,1598.58
10004,460.4,Carreta_Sider,28.0,21.13,549.54,668.16,3566.87,1517.19
10005,36.18,VUC,3.0,1.89,88.25,74.02,119.31,26.41
10006,230.14,Carreta_Bau,28.0,6.66,388.1,386.69,1683.04,703.7
10007,465.0,Carreta_Sider,28.0,10.64,651.18,649.07,3443.05,1499.52
10008,384.73,Carreta_Sider,28.0,8.22,459.24,581.09,2837.44,1238.59
10009,10.83,Truck,14.0,13.11,59.0,63.13,237.86,19.23
10010,94.18,Truck,14.0,11.56,271.37,297.92,656.05,156.44
10011,19.9,Toco,6.0,4.47,72.53,64.95,139.9,18.65
10012,378.2,Carreta_Bau,28.0,22.37,443.39,548.66,2939.36,1205.96
10013,154.38,Truck,14.0,9.25,467.77,478.47,967.48,250.97
10014,480.01,Carreta_Bau,28.0,24.56,637.84,670.12,3653.78,1542.2
10015,27.23,Toco,6.0,2.07,59.99,99.23,131.83,26.76
10016,0.0,3/4,4.0,1.45,84.39,73.06,103.03,12.22
10017,86.62,Toco,6.0,3.92,207.18,231.43,404.55,98.5
10018,73.5,VUC,3.0,2.52,128.64,173.08,237.23,50.48
10019,286.4,Carreta_Bau,28.0,24.09,355.74,447.74,2333.86,920.39
10020,436.37,Carreta_Bau,28.0,27.43,661.06,615.05,3411.49,1404.47
10021,222.3,Carreta_Bau,28.0,22.34,394.11,362.9,1849.6,708.01
10022,45.62,3/4,4.0,1.39,90.04,125.2,171.34,40.78
10023,225.9,Carreta_Sider,28.0,9.69,420.28,342.02,1736.08,726.49
10024,504.99,Carreta_Bau,28.0,14.81,615.79,694.97,3679.85,1585.61
10025,306.08,Carreta_Sider,28.0,19.67,474.19,458.68,2452.32,1011.29
10026,90.94,Truck,14.0,8.2,248.15,284.13,605.15,144.5
10027,8.8,VUC,3.0,0.62,34.75,49.09,34.28,-9.4
10028,85.32,Toco,6.0,3.36,260.88,217.01,385.01,93.03
10029,9.5,VUC,3.0,2.53,51.23,40.49,69.9,6.84
10030,120.45,Truck,14.0,4.96,397.26,376.35,710.44,194.65
10031,450.18,Carreta_Bau,28.0,19.31,546.59,623.85,3377.23,1431.87
10032,191.57,Toco,6.0,2.28,519.64,479.77,810.36,202.95
10033,39.59,3/4,4.0,2.49,96.43,109.78,163.71,38.81
10034,8.91,VUC,3.0,2.24,33.91,49.21,45.52,-1.06
10035,94.91,Truck,14.0,4.57,282.87,321.21,568.61,152.79
10036,87.21,Truck,14.0,10.9,252.12,263.74,621.41,141.1
10037,57.22,VUC,3.0,2.18,143.59,139.77,195.17,42.06
10038,23.82,VUC,3.0,1.25,63.23,54.83,83.01,11.17
10039,29.19,VUC,3.0,2.73,74.9,57.87,106.08,19.44
10040,468.47,Carreta_Bau,28.0,22.78,689.1,653.88,3554.27,1499.01
10041,44.91,Toco,6.0,3.56,108.65,127.32,236.56,49.81
10042,484.49,Carreta_Sider,28.0,6.17,733.33,675.79,3513.74,1542.67
10043,125.93,Toco,6.0,3.15,360.33,334.57,547.98,138.22
10044,33.37,Truck,14.0,6.03,128.13,122.78,264.24,54.23
10045,342.53,Carreta_Sider,28.0,10.45,513.43,528.39,2583.93,1104.85
10046,512.15,Carreta_Bau,28.0,19.52,652.14,729.72,3799.61,1635.27
10047,5.94,VUC,3.0,2.8,58.6,26.29,52.32,4.47
10048,63.72,VUC,3.0,0.82,175.43,136.17,201.88,35.18
10049,490.64,Carreta_Sider,28.0,21.85,646.44,696.43,3780.08,1627.68
10050,59.82,Toco,6.0,4.07,185.81,164.3,284.67,70.26
10051,86.29,Truck,14.0,10.04,273.95,262.37,599.88,145.47
10052,47.39,VUC,3.0,2.61,115.38,89.91,171.52,30.0
10053,318.23,Carreta_Sider,28.0,13.14,388.47,466.74,2445.77,1034.35
10054,384.21,Carreta_Bau,28.0,17.99,588.07,564.05,2910.4,1206.73
10055,351.81,Carreta_Sider,28.0,10.79,487.93,533.18,2635.95,1141.56
10056,181.38,Truck,14.0,5.48,590.3,535.03,1050.97,297.79
10057,35.37,Toco,6.0,3.52,87.2,103.76,169.1,37.56
10058,50.55,VUC,3.0,0.47,106.65,108.78,160.73,35.99
10059,21.72,3/4,4.0,1.44,49.51,44.86,99.14,21.29
10060,60.92,VUC,3.0,0.84,142.89,128.21,182.91,33.36
10061,372.52,Carreta_Bau,28.0,7.05,599.72,518.88,2652.79,1154.25
10062,74.07,Toco,6.0,2.86,183.2,181.61,335.3,81.87
10063,17.97,3/4,4.0,0.95,68.24,58.46,81.19,14.28
10064,236.59,Carreta_Bau,28.0,7.87,387.14,363.27,1750.21,732.67
10065,238.64,Carreta_Sider,28.0,20.12,349.0,400.33,1998.43,788.63
10066,32.97,VUC,3.0,2.11,68.53,60.23,116.57,22.18
10067,82.97,VUC,3.0,2.86,207.15,192.26,282.59,63.77
10068,50.0,3/4,4.0,3.73,82.17,134.68,198.7,40.03
10069,52.4,Truck,14.0,12.5,186.22,171.88,448.81,89.27
10070,69.74,3/4,4.0,2.95,135.24,191.06,260.41,55.12
10071,56.59,VUC,3.0,1.13,131.3,127.51,180.31,39.27
10072,10.33,3/4,4.0,1.21,36.17,40.52,43.03,3.05
10073,273.49,Carreta_Sider,28.0,26.8,434.48,427.3,2343.42,912.41
10074,77.16,VUC,3.0,2.9,175.94,161.19,257.75,56.52
10075,87.98,3/4,4.0,2.32,186.48,202.71,323.99,74.91
10076,8.85,Toco,6.0,3.7,40.74,53.27,81.58,4.68
10077,15.03,Toco,6.0,0.93,52.71,68.82,70.05,20.65
10078,457.18,Carreta_Sider,28.0,7.74,524.22,635.9,3352.15,1465.8
10079,67.88,VUC,3.0,1.84,130.81,154.68,211.73,43.21
10080,196.3,VUC,3.0,0.91,362.06,426.9,576.49,119.08
10081,201.59,Truck,14.0,7.8,580.98,584.13,1196.63,321.11
10082,59.01,3/4,4.0,3.3,117.24,127.84,234.89,62.04
10083,98.12,3/4,4.0,3.32,239.72,245.1,376.73,81.6
10084,38.81,3/4,4.0,3.53,114.15,109.6,173.17,28.54
10085,53.07,VUC,3.0,1.05,102.25,125.45,168.53,35.17
10086,68.0,3/4,4.0,2.07,178.54,180.71,244.49,52.4
10087,160.88,3/4,4.0,2.73,366.1,388.58,567.12,139.81
10088,49.91,3/4,4.0,2.58,108.53,136.21,193.61,49.27
10089,16.76,3/4,4.0,4.0,60.14,38.72,112.42,9.28
10090,12.14,3/4,4.0,1.54,37.37,21.7,58.02,8.69
10091,43.94,3/4,4.0,0.84,113.94,117.9,163.9,38.64
10092,510.94,Carreta_Bau,28.0,13.43,754.16,695.91,3703.65,1597.12
10093,87.98,Toco,6.0,3.54,241.32,238.02,398.53,91.09
10094,54.76,Toco,6.0,2.87,132.7,177.78,248.95,58.56
10095,36.6,3/4,4.0,1.69,101.26,110.13,131.4,40.58
10096,279.39,Carreta_Bau,28.0,10.32,455.07,422.77,2071.78,866.72
10097,86.69,VUC,3.0,1.54,205.66,180.33,263.62,53.99
10098,39.37,Toco,6.0,4.41,104.2,126.75,208.73,55.56
10099,50.33,3/4,4.0,1.11,131.76,133.83,184.79,45.93
10100,177.94,Toco,6.0,5.31,482.12,455.02,799.56,188.29
10101,505.41,Carreta_Sider,28.0,19.46,610.85,675.46,3866.69,1657.26
10102,106.53,Truck,14.0,3.38,333.72,307.11,622.48,173.68
10103,14.6,3/4,4.0,0.68,47.89,59.62,60.14,19.33
10104,300.77,Carreta_Bau,28.0,5.42,362.2,426.97,2159.2,934.97
10105,436.96,Carreta_Sider,28.0,6.35,665.33,626.77,3188.79,1397.95
10106,423.45,Carreta_Sider,28.0,19.52,598.18,623.33,3284.0,1393.25
10107,71.1,VUC,3.0,2.85,167.73,145.81,236.91,40.1
10108,67.73,3/4,4.0,1.05,173.38,178.54,241.89,52.95
10109,76.28,3/4,4.0,1.57,213.28,184.17,270.97,57.54
10110,175.42,VUC,3.0,2.66,376.33,371.31,532.54,119.7
10111,33.59,VUC,3.0,1.74,106.67,65.83,101.16,23.43
10112,43.68,VUC,3.0,1.54,92.4,120.63,144.23,28.45
10113,19.32,3/4,4.0,2.21,60.29,42.62,77.75,24.09
10114,91.77,Toco,6.0,1.42,238.99,226.82,393.92,100.42
10115,11.83,VUC,3.0,1.01,44.49,38.79,40.01,13.17
10116,395.81,Carreta_Sider,28.0,27.1,563.48,580.17,3211.94,1322.99
10117,359.47,Carreta_Sider,28.0,19.51,485.37,570.57,2829.1,1183.94
10118,381.99,Carreta_Bau,28.0,11.01,590.71,530.24,2786.06,1187.34
10119,63.06,VUC,3.0,2.86,144.64,154.32,214.88,46.2
10120,208.09,3/4,4.0,1.95,492.89,501.19,715.11,177.99
10121,68.18,VUC,3.0,0.81,155.01,162.22,212.33,40.91
10122,439.56,Carreta_Sider,28.0,27.17,609.09,635.03,3517.7,1468.65
10123,18.35,3/4,4.0,2.86,53.24,62.49,91.66,22.12
10124,37.24,Truck,14.0,11.06,136.79,154.34,344.98,61.14
10125,7.92,Toco,6.0,1.01,44.1,16.97,45.75,4.65
10126,54.65,Truck,14.0,5.47,188.41,193.52,369.17,84.85
10127,94.54,Truck,14.0,13.35,283.36,304.03,683.63,150.94
10128,43.12,Truck,14.0,3.95,142.12,171.19,286.48,68.44
10129,94.09,Toco,6.0,5.35,247.24,258.63,443.2,107.03
10130,15.49,VUC,3.0,2.41,62.22,47.47,69.96,18.74
10131,39.71,VUC,3.0,1.42,88.99,103.82,128.38,21.29
10132,332.68,Carreta_Bau,28.0,25.3,385.98,486.78,2666.18,1071.48
10133,86.08,Truck,14.0,13.08,231.72,261.91,641.73,143.74
10134,83.78,VUC,3.0,2.66,171.63,186.5,271.32,54.66
10135,33.45,VUC,3.0,1.49,76.68,74.13,114.15,13.71
10136,65.75,Toco,6.0,3.89,156.53,173.33,313.06,66.67
10137,403.16,Carreta_Bau,28.0,11.49,625.97,597.46,2941.95,1268.99
10138,84.64,Truck,14.0,3.65,207.6,285.02,490.16,140.87
