id_vendedor,anos_experiencia,leads_contatados,canal,ticket_medio,vendas_convertidas
1,6,,Inside Sales,1423.76,36
2,3,104.0,Inside Sales,649.03,17
3,12,293.0,Field Sales,1369.34,49
4,14,369.0,Inside Sales,1207.65,37
5,10,180.0,Inside Sales,1341.96,20
6,-5,356.0,Inside Sales,1397.76,28
7,12,184.0,Inside Sales,1902.22,14
8,4,70.0,Inside Sales,1521.3,13
9,6,378.0,Field Sales,1228.92,64
10,9,216.0,Inside Sales,1325.73,20
11,2,323.0,Inside Sales,50000.0,33
12,6,437.0,Inside Sales,885.64,36
13,10,138.0,Inside Sales,637.3,17
14,10,365.0,Inside Sales,789.97,34
15,7,63.0,Inside Sales,1390.89,12
16,4,291.0,Inside Sales,927.98,31
17,3,314.0,Field Sales,1342.81,51
18,7,395.0,Inside Sales,1591.1,31
19,7,102.0,Field Sales,1263.48,17
20,2,435.0,Field Sales,1379.11,74
21,5,389.0,Inside Sales,931.1,38
22,4,141.0,Inside Sales,1166.4,16
23,1,416.0,Field Sales,1640.68,69
24,7,493.0,Field Sales,862.83,81
25,11,477.0,Field Sales,1485.0,74
26,13,313.0,Inside Sales,1717.95,25
27,5,480.0,Inside Sales,1337.37,38
28,1,84.0,Field Sales,694.71,21
29,11,255.0,Inside Sales,1298.05,23
30,4,130.0,Inside Sales,1175.66,16
31,0,469.0,Field Sales,1340.34,71
32,11,99.0,Inside Sales,1420.84,9
33,9,409.0,Field Sales,966.09,61
34,5,437.0,Field Sales,946.83,69
35,12,51.0,Field Sales,1154.84,7
36,11,439.0,Inside Sales,910.33,42
37,8,103.0,Field Sales,1245.15,15
38,0,155.0,Inside Sales,1165.97,12
39,10,309.0,Field Sales,1990.06,47
40,10,359.0,Inside Sales,892.47,29
41,14,240.0,Field Sales,965.39,41
42,9,451.0,Field Sales,1327.18,73
43,11,267.0,Inside Sales,1461.81,25
44,11,93.0,Inside Sales,1886.17,7
45,14,211.0,Inside Sales,1686.88,16
46,13,251.0,Inside Sales,1447.12,22
47,13,495.0,Field Sales,1287.92,75
48,14,319.0,Inside Sales,1468.99,29
49,13,400.0,Inside Sales,1016.9,41
50,2,353.0,Inside Sales,1105.15,33
